phase	description	source_folder	archive_folder	retained_files
team_selection	Agent role selection and role-construction prompts	protein_design\discussions\team_selection	retained_discussion_records\team_selection	discussion_1.json; discussion_1.md; discussion_2.json; discussion_2.md; discussion_3.json; discussion_3.md; merged.json; merged.md
project_specification	Project objective, feasibility constraints and decision questions	protein_design\discussions\project_specification	retained_discussion_records\project_specification	discussion_1.json; discussion_1.md; discussion_2.json; discussion_2.md; discussion_3.json; discussion_3.md; merged.json; merged.md
tools_selection	Computational tool selection and glycation-specific feasibility screening	protein_design\discussions\tools_selection	retained_discussion_records\tools_selection	discussion_1.json; discussion_1.md; discussion_2.json; discussion_2.md; discussion_3.json; discussion_3.md; merged.json; merged.md
execution_planning	Question-structured experimental planning and matrix logic	protein_design\discussions\execution_planning	retained_discussion_records\execution_planning	discussion_1.json; discussion_1.md; discussion_2.json; discussion_2.md; discussion_3.json; discussion_3.md; merged.json; merged.md
wetlab_runsheet_generation	Run-sheet generation and execution-ready condition fields	protein_design\discussions\wetlab_runsheet_generation	retained_discussion_records\wetlab_runsheet_generation	discussion_1.json; discussion_1.md; discussion_2.json; discussion_2.md; discussion_3.json; discussion_3.md; merged.json; merged.md
iteration1_discussion	First returned-result discussion and refinement logic	protein_design\discussions\iteration1_discussion	retained_discussion_records\iteration1_discussion	discussion_1.json; discussion_1.md; discussion_2.json; discussion_2.md; discussion_3.json; discussion_3.md; merged.json; merged.md
wetlab_feedback	Initial wet-lab feedback interpretation	protein_design\discussions\wetlab_feedback	retained_discussion_records\wetlab_feedback	discussion_1.json; discussion_1.md; discussion_2.json; discussion_2.md; discussion_3.json; discussion_3.md; merged.json; merged.md
wetlab_feedback_80%	High-reduction threshold feedback discussion	protein_design\discussions\wetlab_feedback_80%	retained_discussion_records\wetlab_feedback_80%	discussion_1.json; discussion_1.md; discussion_2.json; discussion_2.md; discussion_3.json; discussion_3.md; merged.json; merged.md
wetlab_feedback_80%v2	Revised high-reduction threshold feedback discussion	protein_design\discussions\wetlab_feedback_80%v2	retained_discussion_records\wetlab_feedback_80%v2	discussion_1.json; discussion_1.md; discussion_2.json; discussion_2.md; discussion_3.json; discussion_3.md; merged.json; merged.md
wetlab_feedback_90%	Final recommendation and validation-locking discussion	protein_design\discussions\wetlab_feedback_90%	retained_discussion_records\wetlab_feedback_90%	discussion_1.json; discussion_1.md; discussion_2.json; discussion_2.md; discussion_3.json; discussion_3.md; merged.json; merged.md
